# Dataset "150K (-)" exported from GenX on Fri Dec  9 11:04:04 2016
# Column lables:
# x	I_simulated	I	error(I)	error(x)
8.891266530254999731e-03 1.000001211116153255e-01 1.031412000000000023e-01 3.250073000000000024e-03 4.079067179313407678e-04
8.975543804729998673e-03 1.000001211116153393e-01 1.027990000000000015e-01 2.851316999999999914e-03 4.080685530271463044e-04
9.061434799544999807e-03 1.000001211116153116e-01 1.000903000000000070e-01 2.612901999999999846e-03 4.082354736776343447e-04
9.148984340264999099e-03 9.995681777531541246e-02 9.982147999999999022e-02 2.484188000000000021e-03 4.084077227910050075e-04
9.238242464729999950e-03 9.991860258832893638e-02 9.944379999999999886e-02 2.383746999999999863e-03 4.085854856537951118e-04
9.329260253234999620e-03 9.989548820086065206e-02 9.973949000000000009e-02 2.312173999999999740e-03 4.087690578368421567e-04
9.422088786074998834e-03 9.945538275418236429e-02 1.009362000000000037e-01 2.271964000000000015e-03 4.089586946728543523e-04
9.516783313364999761e-03 9.907003498356592441e-02 9.838821000000000372e-02 2.214893999999999804e-03 4.091546068919475103e-04
9.613399085219999363e-03 9.883336618667855344e-02 9.380425000000000568e-02 2.138833000000000140e-03 4.093571643041435913e-04
9.711999691394999218e-03 9.707173379350184095e-02 9.014901999999999638e-02 2.044295000000000227e-03 4.095665840128817170e-04
9.812640382004999759e-03 9.589764480665606550e-02 9.533864999999999701e-02 2.026079000000000074e-03 4.097832651235938585e-04
9.915391001534998652e-03 9.510527245317551559e-02 9.064377999999999325e-02 1.900708999999999992e-03 4.100074823237332463e-04
1.002031618219499827e-02 9.054017016619053670e-02 9.053833999999999493e-02 1.854942000000000049e-03 4.102396696168716765e-04
1.012748576846999975e-02 8.829490468721014340e-02 8.433268000000000708e-02 1.748235999999999801e-03 4.104801236795771187e-04
1.023697168975499887e-02 8.364312745863604348e-02 7.875337000000000309e-02 1.654494999999999967e-03 4.107292864600721656e-04
1.034885213017499965e-02 7.910506505569561697e-02 7.606103000000000169e-02 1.579414000000000122e-03 4.109876544803214740e-04
1.046320423140000011e-02 7.609183665609092762e-02 7.440958999999999768e-02 1.517264999999999846e-03 4.112555121731901087e-04
1.058010513510000000e-02 6.947998151921273846e-02 6.920980000000000187e-02 1.417279000000000021e-03 4.115335491100384230e-04
1.069966429904999766e-02 6.561531147493838978e-02 6.518268000000000673e-02 1.347538000000000121e-03 4.118221344102601590e-04
1.082194427054999908e-02 6.073532845192689683e-02 6.187436999999999798e-02 1.286727000000000096e-03 4.121219446643354647e-04
1.094704929509999862e-02 5.695390885917409746e-02 5.564029000000000197e-02 1.200407000000000123e-03 4.124333584059490434e-04
1.107508361819999933e-02 5.337262686890387881e-02 5.333008000000000193e-02 1.150656000000000118e-03 4.127573080778703762e-04
1.120615148534999904e-02 5.021316713687321714e-02 5.164750999999999370e-02 1.106289000000000100e-03 4.130941451560891063e-04
1.134035714204999906e-02 4.744780391757571353e-02 4.796324000000000420e-02 1.048897000000000024e-03 4.134447966962941762e-04
1.147781525834999997e-02 4.493643314395557448e-02 4.417783000000000126e-02 9.905988999999999593e-04 4.138099715585524764e-04
1.161865092884999812e-02 4.264322773765742702e-02 4.403967999999999772e-02 9.616527999999999621e-04 4.141904569601887538e-04
1.176297882359999755e-02 4.051397596917143129e-02 4.138131999999999922e-02 9.162129999999999233e-04 4.145871228659182384e-04
1.191094488629999837e-02 3.851916784009257883e-02 3.951410000000000339e-02 8.872463000000000571e-04 4.150009266592545967e-04
1.206267421155000040e-02 3.663884279717384562e-02 3.567159999999999775e-02 8.324254999999998721e-04 4.154329451170669951e-04
1.221832316759999953e-02 3.485794329566091476e-02 3.312665000000000054e-02 7.806838999999999879e-04 4.158841625647218747e-04
1.237803769814999760e-02 3.316503182621227674e-02 3.192931999999999715e-02 7.324848999999999163e-04 4.163557963476070324e-04
1.254198459600000017e-02 3.155089630213459007e-02 3.199623000000000050e-02 6.986009999999999746e-04 4.168490305202712126e-04
1.271033065394999891e-02 3.000814775431249332e-02 2.936918999999999988e-02 6.453169000000000353e-04 4.173653545952395096e-04
1.288326351389999791e-02 2.853059928899055048e-02 2.763052999999999690e-02 6.179023999999999541e-04 4.179061496956464018e-04
1.306096039319999853e-02 2.711325160136503903e-02 2.627804999999999724e-02 5.860792000000000519e-04 4.184729138987253335e-04
1.317609954794999802e-02 2.624457615747951417e-02 2.756457000000000004e-02 5.128023000000000216e-04 4.189866235590821255e-04
1.324362978284999819e-02 2.575173118723501908e-02 2.585002000000000133e-02 5.580814000000000131e-04 4.190674180844891389e-04
1.336299088034999943e-02 2.490983728493069427e-02 2.558231999999999867e-02 4.693087999999999882e-04 4.196076828967863293e-04
1.355526128054999890e-02 2.362573695436885959e-02 2.313567999999999875e-02 4.317014999999999460e-04 4.202601117986336015e-04
1.375315051319999857e-02 2.238936246259703305e-02 2.239624000000000129e-02 4.036696999999999681e-04 4.209461101499929725e-04
1.395689834294999883e-02 2.119828184005603453e-02 2.158365999999999757e-02 3.877528999999999785e-04 4.216680430219487308e-04
1.416678623264999888e-02 2.005023921685906638e-02 2.008162000000000141e-02 3.634501000000000051e-04 4.224284182569160552e-04
1.438306437149999839e-02 1.894351932946066255e-02 1.969160000000000008e-02 3.496731999999999575e-04 4.232300248291583403e-04
1.460606634509999807e-02 1.787630170067519217e-02 1.781051999999999982e-02 3.261426999999999903e-04 4.240758851828762112e-04
1.483608404084999985e-02 1.684728023217058057e-02 1.697879000000000055e-02 3.175349999999999744e-04 4.249694723879469320e-04
1.507345104434999923e-02 1.585521137791023535e-02 1.634280999999999928e-02 3.228960999999999594e-04 4.259140214764477379e-04
